,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,City
23,372929.0,Lux Urban 3BR/3BA Duplex + Parking!,1876597,The Adventurers,0.0,West Town,41.89629,-87.65704,Entire home/apt,222.0,2,290,2024-03-17,2.1,2,306,15,2510875,Chicago
24,404792.0,Eclectic West Town 2BR w/ Vintage Charm,1844352,Christine,0.0,West Town,41.88947,-87.66933,Entire home/apt,126.0,21,218,2023-11-30,1.53,1,39,10,R23000098892,Chicago
25,464581.0,"Large, Private Logan Square Studio",2308792,Jonathan,0.0,Logan Square,41.92518,-87.69549,Entire home/apt,61.0,32,645,2023-08-17,4.57,1,147,1,R17000017731,Chicago
26,507517.0,Private Lincoln Square Garden Apt,2501182,Nate,0.0,Lincoln Square,41.96678,-87.6973,Entire home/apt,101.0,2,400,2024-01-01,2.81,1,112,30,R23000111667,Chicago
27,542067.0,Logan Square Modern Vintage Garden,2273840,Sarah,0.0,Logan Square,41.93142,-87.69989,Entire home/apt,125.0,32,303,2023-10-19,2.12,1,171,20,R17000015045,Chicago
28,584590.0,"Spacious Bedroom, steps to El train",2880338,Elizabeth,0.0,Lincoln Square,41.96528,-87.6831,Private room,50.0,32,52,2023-09-08,0.37,2,180,1,R17000015627,Chicago
29,634310.0,The Stained Glass Apt. Edgewater #1,2915265,Felice,0.0,Edgewater,41.99688,-87.66449,Private room,70.0,3,121,2024-03-17,0.86,2,347,10,R22000091618,Chicago
30,640841.0,Designer Lakeview Haven. Private Rooftop Oasis!,3200044,James,0.0,Lake View,41.94256,-87.67171,Entire home/apt,226.0,4,92,2024-03-17,1.31,1,16,16,R21000061279,Chicago
31,662034.0,Edgebrook bdr by golf course,2824576,Jeff,0.0,Forest Glen,41.99405,-87.75746,Private room,70.0,32,91,2023-10-08,0.71,1,364,6,R23000095494,Chicago
32,681842.0,Bedrm/Bath - Swanky Northside Condo,3472696,Roxane,0.0,West Ridge,41.99373,-87.68279,Private room,63.0,32,28,2021-09-07,0.21,2,311,0,R21000061018,Chicago
33,697634.0,"2 BD Condo by downtown,park,lake",3574415,Marv,0.0,Near North Side,41.90437,-87.6335,Entire home/apt,97.0,32,159,2023-11-18,1.22,2,275,2,City registration pending,Chicago
34,726376.0,"Spacious Studio, Amazing Location!",2658212,James,0.0,Lake View,41.93903,-87.65196,Entire home/apt,95.0,2,802,2024-03-07,5.77,3,29,57,R22000080211,Chicago
35,739495.0,Lovely 2 bedroom in Lincoln Square,3867687,Janet,0.0,Lincoln Square,41.9765,-87.68144,Entire home/apt,150.0,32,215,2023-10-10,1.65,1,90,12,R17000020094,Chicago
36,755701.0,3 Bedroom Victorian Beauty at Logan Square,3920450,Vas,0.0,Logan Square,41.93115,-87.71836,Entire home/apt,80.0,32,27,2024-01-07,0.21,4,193,3,City registration pending,Chicago
37,863120.0,Cozy Private Room in a unique Chicago Penthouse,4525503,Nejla And Enki,0.0,Lincoln Park,41.92218,-87.66079,Private room,85.0,2,153,2024-03-17,1.18,1,26,20,R21000072699,Chicago
38,887038.0,MCM Prime LincolnPark 2 Bed 1 Block to Fullerton L,101521,Red,0.0,Lincoln Park,41.92546,-87.6573,Entire home/apt,60.0,32,43,2023-08-13,0.33,4,172,6,City registration pending,Chicago
39,903996.0,Private Entrance/Steam Room Ensuite,4019426,Colleen,0.0,Logan Square,41.92708,-87.71212,Private room,110.0,32,144,2020-02-16,1.1,1,55,0,R17000015433,Chicago
40,929914.0,Charming renovated Victorian apartment in Old Town,5007980,Lynn,0.0,Lincoln Park,41.91241074,-87.63896942,Entire home/apt,128.0,3,471,2024-03-11,3.52,1,33,45,R21000073898,Chicago
41,931105.0,Modern Guest Bedroom Room in Designers House,5015135,Samantha,0.0,East Garfield Park,41.88538,-87.69801,Private room,136.0,32,22,2018-11-02,0.17,1,362,0,R17000015264,Chicago
42,960326.0,The Penthouse Gallery at OHC - No Cleaning Fee!,5228189,Matthew,0.0,West Town,41.89602,-87.65659,Entire home/apt,220.0,2,426,2024-02-25,3.24,21,336,48,2457501,Chicago
43,966137.0,"!!BIG PRIVATE HOUSE!!close2bus,Great reviews!!",5016495,Erika,0.0,Near West Side,41.86801,-87.67877,Entire home/apt,133.0,32,41,2023-09-01,0.31,1,87,1,city registration pending,Chicago
44,979841.0,"Huge Victorian near Loyola, Lake #1",5076708,Lois And Eduardo,0.0,Rogers Park,42.00588,-87.66853,Private room,89.0,2,314,2024-03-17,2.36,4,341,38,R17000015436,Chicago
45,979926.0,"Huge Victorian near Loyola, Lake #2",5076708,Lois And Eduardo,0.0,Rogers Park,42.00477,-87.66842,Private room,79.0,2,345,2024-03-03,2.61,4,326,42,R17000015436,Chicago
46,979942.0,"Huge Victorian near Loyola, Lake #3",5076708,Lois And Eduardo,0.0,Rogers Park,42.00378,-87.66807,Private room,79.0,2,312,2024-03-17,2.34,4,347,27,R17000015436,Chicago
47,983640.0,Huge Victorian near Loyola 2bd Apt,5076708,Lois And Eduardo,0.0,Rogers Park,42.00456,-87.67058,Entire home/apt,179.0,2,263,2023-11-25,2.0,4,292,30,R17000015436,Chicago
48,1020810.0,Beautiful Condo in Chicago,3843347,Andrea,0.0,Near North Side,41.89395,-87.62593,Entire home/apt,85.0,32,38,2023-07-15,0.28,3,113,3,City registration pending,Chicago
49,1171860.0,"Lincoln Park Studio, Great Value!",2658212,James,0.0,Lincoln Park,41.92655,-87.64226,Entire home/apt,75.0,2,697,2024-03-06,5.34,3,48,48,R22000081599,Chicago
50,1185749.0,3 Bedroom Vintage Hideaway In Little Italy/uic,1664593,Matt And Christy,0.0,Near West Side,41.87033,-87.6826,Entire home/apt,167.0,3,365,2024-02-22,2.77,1,45,23,R23000099312,Chicago
51,1195259.0,Wicker Park - Garden At The Heart of It All,2899484,Jason,0.0,West Town,41.90914,-87.67859,Entire home/apt,138.0,32,212,2023-10-10,1.61,2,217,7,R19000037818,Chicago
52,1242709.0,Beautiful/Large SE Evanston Apt,1254363,Mark,0.0,Rogers Park,42.01938,-87.67985,Entire home/apt,149.0,7,16,2022-10-15,0.15,1,365,0,City registration pending,Chicago
53,1304049.0,Private room near UIC Medical Dist.,7089017,Sharon,0.0,Near West Side,41.86967,-87.68284,Private room,103.0,32,123,2023-10-09,0.96,1,365,5,R17000015307,Chicago
54,1321332.0,Lincoln Park Single Family Home,946954,Jeff,0.0,Lincoln Park,41.93089,-87.66946,Entire home/apt,278.0,2,113,2023-10-26,0.89,1,282,4,2262746,Chicago
55,1356190.0,Logan Square Vintage Deluxe Private Suite & Bath,3069675,Gabrielle,0.0,Logan Square,41.91984,-87.68962,Private room,94.0,3,431,2024-03-16,3.37,1,233,40,R23000111151,Chicago
56,1361421.0,Wrigley Hostel - Queen Bed Room,7391164,Wrigley Hostel,0.0,Lake View,41.9459,-87.65461,Private room,120.0,32,40,2021-05-23,0.33,2,206,0,R20000058693,Chicago
57,1392594.0,"Bright open house, garden & deck",7528098,Eileen,0.0,Uptown,41.96909,-87.67407,Entire home/apt,175.0,4,30,2023-10-14,0.23,1,123,3,R22000079042,Chicago
58,1461451.0,02b. Twin bed in Coed Space,2907254,Joseph,0.0,West Ridge,42.01653,-87.68788,Shared room,17.0,1,190,2024-02-13,1.47,12,171,11,R21000075752,Chicago
59,1502674.0,The Biddle House (#2),33004,At Home Inn,0.0,Lincoln Park,41.91175,-87.63834,Entire home/apt,165.0,4,118,2024-03-18,0.92,6,150,33,2209985,Chicago
60,1502700.0,The Biddle House,33004,At Home Inn,0.0,Lincoln Park,41.91184,-87.63963,Entire home/apt,418.0,7,16,2019-09-02,0.13,6,64,0,"2120298, 2120297",Chicago
61,1554433.0,Charming Home in Chicago,6088938,Eric,0.0,Beverly,41.71554,-87.67197,Private room,49.0,32,199,2023-10-09,1.55,2,229,2,R17000013891,Chicago
62,1562331.0,Cozy Room,3710712,Rick,0.0,Portage Park,41.95993,-87.77808,Private room,21.0,32,0,No Review,0.0,1,87,0,City registration pending,Chicago
63,1573401.0,Spacious & serene in hip spot. Sleeps 4.,8186262,April,0.0,Lower West Side,41.85592,-87.66249,Private room,50.0,2,378,2024-03-07,5.02,2,159,58,R21000069179,Chicago
64,1584422.0,Magic Factory Loft 2West,2810938,Carole,0.0,Near North Side,41.90532,-87.64761,Entire home/apt,380.0,3,46,2023-11-05,0.36,3,323,13,2555923,Chicago
65,1591370.0,Cozy Northside Apt near trains & free St. parking,8489460,Holly + Mark,0.0,Rogers Park,42.01177,-87.67758,Entire home/apt,120.0,2,190,2024-01-05,1.48,1,283,20,R22000090320,Chicago
66,1614802.0,"Contemporary, private suite w fireplace",8595700,Carin,0.0,Lake View,41.93455,-87.66141,Entire home/apt,69.0,4,355,2024-03-19,2.93,1,228,27,R23000105186,Chicago
67,1620098.0,Bedroom + apartment in Lincoln Park,8619275,Leszek,0.0,Lincoln Park,41.92817,-87.64282,Private room,150.0,1,69,2024-03-17,0.54,1,89,11,R22000079040,Chicago
68,1648786.0,Quiet Rooms2 in Quiet Neighborhood,1426804,Afri,0.0,Chatham,41.72706,-87.61164,Private room,55.0,2,104,2022-08-01,0.81,1,81,0,R17000013914,Chicago
69,1663673.0,iKlektik House Chicago / Cardinal,8813383,Mindy + Tony,0.0,West Town,41.89322,-87.68572,Entire home/apt,100.0,2,399,2024-03-12,3.22,3,161,38,R22000090635,Chicago
70,1732652.0,LUX Condo Downtown BEST LOCATION ON MAG MILE AVE,3965428,Dominic,0.0,Near North Side,41.89269,-87.62227,Entire home/apt,153.0,120,6,2014-08-11,0.05,50,365,0,City registration pending,Chicago
71,1759266.0,Lakeview / Lincoln Park Vintage,9249272,Mark,0.0,Lake View,41.93396,-87.65897,Entire home/apt,181.0,2,80,2023-12-27,0.67,1,272,18,2209110,Chicago
72,1759389.0,Casa Corazón (W) near Rush / UIC,1559157,Amanda,0.0,Lower West Side,41.84801,-87.68127,Private room,82.0,2,151,2024-02-15,1.19,3,204,10,R20000054162,Chicago
73,1769731.0,1 Bedroom Across from Wrigley Field MVP Suite,9297431,Inn At Wrigleyville,0.0,Lake View,41.94747,-87.65417,Entire home/apt,179.0,1,22,2023-11-05,0.66,6,228,6,2446867,Chicago
74,1772920.0,3 Bedroom Across from Wrigley Field AllStar Suite,9297431,Inn At Wrigleyville,0.0,Lake View,41.94842,-87.65307,Entire home/apt,379.0,1,14,2023-08-06,0.11,6,229,2,2446868,Chicago
75,1773021.0,4 Bedroom Across from Wrigley Field Stadium Suite,9297431,Inn At Wrigleyville,0.0,Lake View,41.94774,-87.65421,Entire home/apt,479.0,1,34,2023-09-24,0.95,6,227,7,2446868,Chicago
76,1773025.0,4 Bedroom Across from Wrigley Field Legend Suite,9297431,Inn At Wrigleyville,0.0,Lake View,41.9475,-87.6542,Entire home/apt,479.0,1,25,2023-09-24,0.7,6,226,4,2446867,Chicago
77,1810118.0,LARGE 1BR/Private Full Bath near U of Chicago,9483312,Ryan,0.0,Woodlawn,41.77738,-87.60041,Private room,79.0,4,365,2023-10-08,2.97,2,145,9,R17000015592,Chicago
78,1837153.0,Musician's Quarters,9601147,Chester,0.0,Hyde Park,41.79989,-87.59432,Entire home/apt,73.0,32,58,2023-06-20,0.47,1,360,1,City registration pending,Chicago
79,1854000.0,Elegant Lakefront Near Wrigley Field Lake Michigan,9471604,James,0.0,Lincoln Park,41.93264,-87.64311,Entire home/apt,364.0,32,155,2022-08-09,1.24,1,365,0,R93749978238,Chicago
80,1869568.0,"Homey, cozy and comfortable!",1971382,Esmirna,0.0,North Lawndale,41.8563826,-87.71415361,Private room,45.0,1,1,2024-01-31,0.57,4,231,1,R23000111400,Chicago
81,1921670.0,The Avondale Garden Unit,9959757,Jedidiah,0.0,Irving Park,41.94663,-87.70783,Entire home/apt,70.0,2,320,2024-03-19,2.89,9,279,33,R18000036958,Chicago
82,1931880.0,Charming Mid-Century Designed Apt in E Lakeview,4995578,George,0.0,Lake View,41.93564,-87.6424,Entire home/apt,125.0,32,1,2022-09-05,0.05,1,55,0,City registration pending,Chicago
83,1939467.0,"Rm 1, Quiet&Cozy in Old Irving - NonSmokers, only",8292749,Ilya,0.0,Irving Park,41.95998186,-87.73006782,Private room,37.0,32,3,2023-10-02,0.35,2,79,3,City registration pending,Chicago
84,1944802.0,High Floor South Loop GYM POOL,3965428,Dominic,0.0,Near South Side,41.85487,-87.62024,Entire home/apt,200.0,140,13,2016-10-15,0.11,50,365,0,City registration pending,Chicago
85,2011301.0,Bucktown - Great Northside Location,5166793,Carrie & Brad,0.0,Logan Square,41.92118,-87.68678,Private room,49.0,2,282,2023-12-09,2.25,2,57,18,R18000037035,Chicago
86,2062638.0,Downtown Urban Oasis 3BR + Huge Deck & Parking!,1876597,The Adventurers,0.0,West Town,41.89821,-87.6572,Entire home/apt,254.0,2,211,2024-02-25,1.69,2,314,17,2510880,Chicago
87,2103986.0,Mid-Century Townhouse in Lakeview,1838943,Sunnie/Randolph,0.0,Lake View,41.93338,-87.63913,Private room,75.0,1,158,2023-08-28,1.32,1,180,16,R22000091334,Chicago
88,2139407.0,Urban Farm Fun!  Walk to Metra/CTA,10917550,Nicky,0.0,Humboldt Park,41.88849,-87.70648,Entire home/apt,69.0,1,573,2024-03-07,4.62,8,244,46,R22000078847,Chicago
89,2189522.0,Casa Corazón (E) near Rush / UIC,1559157,Amanda,0.0,Lower West Side,41.84828,-87.68021,Private room,82.0,2,200,2023-11-06,1.65,3,206,23,R20000054162,Chicago
90,2298310.0,"Hyde Park / Kenwood, U of Chicago. Free bike.",1385332,Patt,0.0,Kenwood,41.80239,-87.60244,Private room,42.0,14,57,2024-02-15,0.47,19,296,10,R21000072908,Chicago
91,2305230.0,Wrigley Hostel - 10 Bed Shared Room,7391164,Wrigley Hostel,0.0,Lake View,41.94594,-87.65431,Shared room,30.0,1,420,2023-10-11,3.72,2,282,22,2245608,Chicago
92,2396340.0,The Woodsman's Gallery at OHC - No Cleaning Fee!,5228189,Matthew,0.0,West Town,41.89634,-87.65608,Entire home/apt,214.0,2,495,2024-03-02,4.06,21,328,35,2385048,Chicago
93,2437230.0,City Hideaway,7000138,Brock & Kim,0.0,North Center,41.94272,-87.68409,Entire home/apt,246.0,2,98,2023-04-24,0.82,1,181,1,R24000114939,Chicago
94,2479175.0,Cozy Garden-Subterranean Apartment,12681444,Jenny,0.0,Lincoln Square,41.96316,-87.69208,Entire home/apt,79.0,2,268,2024-03-17,2.22,1,55,28,R17000017830,Chicago
95,2499596.0,Vintage Apartment in the Heart of the Ukrainian Village,2768314,Jason,0.0,West Town,41.90006,-87.68096,Entire home/apt,116.0,10,180,2024-03-04,1.48,2,0,6,R23000108359,Chicago
96,2515629.0,"Cozy, Quiet, Private bathroom in private room",12877384,Tanya,0.0,East Garfield Park,41.88152,-87.69768,Private room,32.0,5,172,2024-03-12,1.46,2,88,15,R21000073422,Chicago
97,2519442.0,"Warm Cozy Suite, Private Bath, Free Street Parking",7858620,Cynthia,0.0,Washington Park,41.79606,-87.62382,Private room,80.0,2,111,2023-10-09,0.92,1,347,9,R17000013595,Chicago
98,2543231.0,Private room near Downtown,2850286,Amado,0.0,Lower West Side,41.85669,-87.65132,Private room,65.0,32,246,2022-09-01,2.02,1,179,0,City registration pending,Chicago
99,2583929.0,Next to McCormick Desk WIFI w/ KING BED +Laundry,3965428,Dominic,0.0,Near South Side,41.85226,-87.62299,Entire home/apt,145.0,60,13,2018-06-02,0.11,50,365,0,City registration pending,Chicago
100,2604395.0,Large 3 bed near University of Chicago & Hyde Park,2376962,Samuel,0.0,Washington Park,41.7918286,-87.6243682,Entire home/apt,129.0,32,0,No Review,0.0,2,111,0,City registration pending,Chicago
101,2679456.0,2BD Great Views Modern Luxury  w/POOL,3965428,Dominic,0.0,Near South Side,41.85255,-87.62121,Entire home/apt,200.0,120,4,2015-06-24,0.03,50,365,0,City registration pending,Chicago
102,2693387.0,"The Bucktown Penthouse Family, Business, Friends",13783917,Nora,0.0,West Town,41.91387,-87.67182,Entire home/apt,139.0,1,143,2023-09-20,1.78,2,0,5,R23000095757,Chicago
103,2695259.0,Grand Vintage Lincoln Park Penthouse 3 Bedrooms,13793246,Kristi,0.0,Lake View,41.93308,-87.6511,Entire home/apt,299.0,1,162,2023-10-22,2.03,1,0,11,R23000098955,Chicago
104,2715815.0,Great Location w/Fast Wi-Fi King Bed DESK GYM A+,3965428,Dominic,0.0,Near South Side,41.85361,-87.62434,Entire home/apt,130.0,32,17,2023-10-19,0.14,50,175,1,City registration pending,Chicago
105,2819982.0,"McCormick Modern New 2 beds Luxury , Pool, HotTub",3965428,Dominic,0.0,Near South Side,41.85247,-87.62204,Entire home/apt,200.0,60,7,2016-12-02,0.06,50,365,0,City registration pending,Chicago
106,2824585.0,#54-Home away from home- Safe place,13389580,Ed,0.0,Dunning,41.9443,-87.79831,Private room,45.0,32,29,2022-09-03,0.24,2,356,0,R17000013486,Chicago
107,2832376.0,Modern 1 Bedroom w/POOL HOT TUB Luxury,3965428,Dominic,0.0,Near South Side,41.85434,-87.62194,Entire home/apt,135.0,32,6,2018-07-07,0.05,50,365,0,City registration pending,Chicago
108,2836339.0,Stay In the Center w/ Pool Gym Long Term Furnished,3965428,Dominic,0.0,Near North Side,41.89098,-87.62238,Entire home/apt,155.0,100,5,2015-01-18,0.04,50,365,0,City registration pending,Chicago
109,2844042.0,iKlektik House Chicago / BlueJay,8813383,Mindy + Tony,0.0,West Town,41.89288,-87.68458,Entire home/apt,165.0,2,165,2024-01-22,1.37,3,125,7,R23000110018,Chicago
110,2874486.0,Gorgeous Penthouse with Stunning Views from Private Rooftop,14692157,Ross,0.0,West Town,41.90026,-87.66871,Entire home/apt,171.0,2,244,2024-03-07,2.68,2,175,37,R21000071753,Chicago
111,2907500.0,The Red Room,11231030,Erik,0.0,West Lawn,41.78225,-87.72806,Private room,39.0,1,349,2024-02-19,2.98,2,334,17,R17000014945,Chicago
112,3031898.0,Art Collector's Pied-a'-terre,15442332,Karen Sophie,0.0,South Shore,41.77206,-87.56982,Entire home/apt,85.0,32,245,2019-10-23,2.04,1,329,0,City registration pending,Chicago
113,3053081.0,Relaxed Bucktown/Wicker Park 1B Apt,1368870,Paul,0.0,Logan Square,41.91571,-87.67449,Entire home/apt,84.0,2,475,2024-03-19,3.96,1,80,37,R22000090195,Chicago
114,3068787.0,Lincoln Square Modern 2 Bed 2 Bath,7780304,Mark And Collette,0.0,North Center,41.96136,-87.6784,Entire home/apt,160.0,3,157,2024-01-23,1.51,1,258,32,R22000080115,Chicago
115,3083343.0,"Splendid Flat w/ Huge Porch, STEPS from 606 Trail",209564,Ami,0.0,Logan Square,41.91533279,-87.67047882,Entire home/apt,112.0,2,133,2024-02-26,1.16,6,89,17,R18000036344,Chicago
116,3172794.0,LOFT606:  Gigantic Sunlit Former Factory Home,16090300,John,0.0,Logan Square,41.91634,-87.69335,Entire home/apt,964.0,1,83,2024-03-17,0.71,9,363,5,R17000015252,Chicago
117,3267902.0,Ravenswood Guest House Annex,2676165,Richard,0.0,Edgewater,41.98908,-87.66697,Entire home/apt,89.0,2,376,2024-03-17,3.16,1,212,42,R23000104940,Chicago
118,3292054.0,The Roscoe House near Wrigley Field,5960265,Courtney And Garrett,0.0,Lake View,41.94278,-87.65621,Entire home/apt,264.0,2,258,2024-03-20,2.19,2,288,42,R23000105796,Chicago
119,3308694.0,"""The Annex II"" Huge 1,600 Sq foot Apartment",16707041,Matthew,0.0,Near West Side,41.88711,-87.6438,Entire home/apt,356.0,2,117,2024-03-17,1.28,2,155,17,R21000072734,Chicago
120,3329088.0,East Garfield Park 2 Bedroom,16807770,William,0.0,East Garfield Park,41.88367,-87.70864,Entire home/apt,117.0,3,135,2024-03-18,1.14,1,318,24,R23000105070,Chicago
121,3385966.0,Welcome to your 2BD Penthouse,9995028,Chad,0.0,Lake View,41.93594,-87.66953,Entire home/apt,161.0,32,190,2023-11-11,1.75,1,139,4,C17000006773,Chicago
122,3434136.0,Beautiful West Lakeview location,17217012,Janet,0.0,Lake View,41.94159,-87.65099,Private room,75.0,32,178,2023-10-15,1.51,1,363,9,R17000013279,Chicago
123,3445991.0,"#55-Clean,Great area. free parking, 24h check in.",13389580,Ed,0.0,Dunning,41.94418,-87.79895,Private room,35.0,32,6,2022-04-20,0.05,2,89,0,City registration pending,Chicago
124,3453656.0,Private large room with your own bathroom,17405364,Jennifer,0.0,Rogers Park,42.00146,-87.66982,Private room,55.0,7,41,2023-05-24,0.39,3,51,1,R21000073244,Chicago
125,3517984.0,Private room w/bath in urban canopy,11294056,Amanda,0.0,Hyde Park,41.79963,-87.59186,Private room,76.0,1,430,2024-03-11,3.68,1,96,49,R17000015187,Chicago
126,3570616.0,1 Bedroom Victorian Beauty at Logan Square!,3920450,Vas,0.0,Logan Square,41.93047,-87.7196,Entire home/apt,72.0,32,158,2024-03-02,1.34,4,66,5,City registration pending,Chicago
127,3590692.0,"Modern, Super-CLEAN, Garden Level  Bedroom 3",12955486,Luke & Ligia,0.0,Edgewater,41.99103,-87.66166,Private room,49.0,20,47,2024-03-05,0.4,3,200,3,R18000034100,Chicago
128,3638744.0,Chicago Suite 1BR/1BA (3709-G2),837429,Petru,0.0,Irving Park,41.95965,-87.72016,Entire home/apt,76.0,32,46,2022-12-01,0.4,1,203,0,R17000014762,Chicago
129,3639045.0,Modern suite in Victorian Garden setting.,8607123,Grainne,0.0,West Ridge,41.99595,-87.67545,Entire home/apt,65.0,32,5,2020-10-03,0.07,2,234,0,R17000015507,Chicago
130,3666681.0,NEW ULTRA LUXURY CONDO RIVER-NORTH Roof-Top Pool,3965428,Dominic,0.0,Near North Side,41.88853,-87.63399,Entire home/apt,170.0,90,13,2019-09-11,0.11,50,365,0,City registration pending,Chicago
131,3696178.0,Beautiful condo close to the beach,18742622,Barbara,0.0,Rogers Park,42.0222,-87.67226,Private room,68.0,2,74,2024-03-11,0.68,2,309,10,R23000109108,Chicago
132,3742513.0,03a. Queen sized in coed room,2907254,Joseph,0.0,West Ridge,42.0168,-87.68771,Shared room,17.0,1,160,2024-02-24,1.37,12,358,14,R21000075752,Chicago
133,3761023.0,"Free parking, close to public transit, dining",14015437,Andrew &  Diane,0.0,Bridgeport,41.83615,-87.64638,Entire home/apt,80.0,3,78,2023-09-25,0.83,1,22,6,R23000105445,Chicago
134,3783533.0,"""Home Away from Home"" - Free Street Parking!",19416379,Glenda,0.0,Humboldt Park,41.898048,-87.702972,Entire home/apt,126.0,32,363,2023-10-09,3.13,1,179,17,R17000018703,Chicago
135,3792844.0,Luxury One Bedroom One-Private bathroom on beach,19471032,Alberto,0.0,Loop,41.877,-87.63055,Private room,55.0,32,10,2023-12-24,0.3,1,261,4,R21000074087,Chicago
136,3809530.0,Best location in Chicago! Superhost,19578992,Laura,0.0,West Town,41.90173,-87.67359,Entire home/apt,257.0,32,103,2023-10-09,0.88,3,364,1,R17000015699,Chicago
